"Contador";"CJMCU6814";"MICS5524";"MQ7"
"1";"178.33";"13.21";"7.16"
"2";"178.00";"13.13";"7.10"
"3";"177.33";"13.33";"7.12"
"4";"176.67";"13.00";"7.10"
"5";"177.00";"13.76";"7.07"
"6";"177.33";"13.42";"7.11"
"7";"271.00";"24.00";"10.12"
"8";"273.00";"23.33";"10.02"
"9";"264.00";"27.00";"10.80"
"10";"265.33";"24.00";"10.81"
"11";"269.00";"24.00";"10.65"
"12";"256.00";"25.33";"10.54"
"13";"255.00";"24.67";"10.51"
"14";"251.67";"24.33";"10.38"
"15";"252.00";"23.33";"10.32"
"16";"255.00";"24.67";"10.22"
"17";"251.67";"24.33";"10.17"
"18";"254.00";"24.67";"10.10"

