"Contador";"CJMCU6814";"MICS5524";"MQ135"
"1";"279.67";"14.67";"12.12"
"2";"276.33";"15.33";"11.79"
"3";"274.33";"15.00";"11.42"
"4";"271.33";"15.67";"11.21"
"5";"270.00";"15.00";"10.93"
"6";"265.33";"14.00";"10.47"
"7";"328.67";"129.33";"30.47"
"8";"329.00";"121.00";"28.34"
"9";"321.00";"118.00";"25.26"
"10";"326.33";"117.67";"23.73"
"11";"319.67";"116.67";"20.30"
"12";"316.00";"111.33";"17.65"
"13";"310.33";"114.67";"16.16"
"14";"312.00";"115.33";"17.16"
"15";"315.67";"118.00";"17.33"
"16";"317.67";"112.00";"16.16"
"17";"314.67";"114.33";"17.00"
"18";"312.33";"110.33";"16.01"

