"Contador";"HCSR04";"VL53L1X"
"1";"230.27";"819.00"
"2";"229.35";"819.00"
"3";"230.68";"819.00"
"4";"230.81";"819.00"
"5";"231.55";"819.00"
"6";"230.98";"819.00"
"7";"8.65";"9.00"
"8";"8.58";"8.00"
"9";"8.58";"8.00"
"10";"8.59";"9.00"
"11";"8.61";"9.00"
"12";"8.60";"10.00"
"13";"8.60";"9.00"
"14";"8.60";"9.00"
"15";"8.72";"9.00"
"16";"8.90";"10.00"
"17";"8.68";"10.00"
"18";"8.64";"10.00"
"19";"18.20";"20.00"
"20";"18.32";"21.00"
"21";"18.50";"21.00"
"22";"19.08";"21.00"
"23";"18.82";"21.00"
"24";"18.86";"21.00"
"25";"18.93";"21.00"
"26";"18.76";"20.00"
"27";"18.98";"21.00"
"28";"19.19";"21.00"
"29";"19.37";"21.00"
"30";"19.26";"21.00"
