Contador;TEMT6000;BH1750;P13LDR
1;15.07;69.00;58.36
2;13.67;69.67;59.69
3;13.35;69.67;64.45
4;14.32;69.67;63.62
5;14.32;70.00;56.89
6;17.02;69.00;68.98
7;14.00;69.67;62.69
8;13.02;69.67;59.44
9;12.70;70.00;59.73
10;12.04;68.00;63.31
11;15.30;68.00;58.15
12;15.72;68.00;71.42
13;197.92;879.33;3.04
14;204.10;863.67;3.11
15;198.89;868.00;3.09
16;196.94;867.67;3.13
17;200.20;883.33;3.09
18;203.13;877.67;3.20
19;193.03;855.00;3.11
20;204.75;872.00;3.09
21;197.59;887.00;3.02
22;206.05;867.67;3.11
23;193.03;827.33;3.12
24;198.57;830.00;3.18
25;0.98;11.00;644.06
26;3.26;12.00;645.81
27;5.86;11.00;925.96
28;3.58;10.00;946.91
29;2.60;10.00;954.74
30;2.60;10.00;1076.10
31;4.23;9.67;1232.67
32;2.28;9.00;1318.09
33;1.63;9.00;1267.92
34;4.23;8.00;1555.99
35;0.98;8.00;1506.07
36;2.60;8.00;1700.05
37;0.00;0.00;987703.43
38;0.00;0.00;994301.33
39;0.00;0.00;973213.11
40;0.00;0.00;987639.98
41;0.00;0.00;970917.32
42;0.00;0.00;973211.65
43;0.00;0.00;987703.43
44;0.00;0.00;997623.87
45;0.00;0.00;983612.44
46;0.00;0.00;987903.31
47;0.00;0.00;998732.89
48;0.00;0.00;970129.63
